ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year
1,0.203597,2.67136,0.01629,-0.040724,-0.004664,0.001781,0.005474,-0.00079,-0.814668,61.0067,2018,21836193
2,0.203711,2.75432,0.01628,-1.36409,-0.00466,-0.00142,0.005711,-0.00356,-0.701967,60.0627,2018,21836194
3,0.203813,2.87277,0.016283,-0.511481,-0.004658,-0.002125,0.005311,-0.004169,-0.798596,58.1098,2018,21836195
4,0.20394,2.96738,0.016305,-0.691685,-0.004669,-0.00173,0.006544,-0.003833,-0.797777,59.2591,2018,21836196
5,0.203604,3.04686,0.01629,-0.753786,-0.004661,-0.001438,0.006551,-0.003576,-0.675489,58.6401,2018,21836197
6,0.203612,0.017634,0.016279,0.287404,-0.004652,0.001499,0.006076,-0.001028,-0.785626,58.8312,2018,21836198
7,0.203634,-3.05756,0.016286,-0.800553,-0.004659,-0.00187,0.006094,-0.003949,-0.784499,59.5449,2018,21836199
8,0.203634,-2.94726,0.016278,-1.17177,-0.004659,-0.001219,0.006306,-0.003386,-0.745081,61.2033,2018,21836200
9,0.203824,-2.82659,0.016298,-1.09378,-0.004664,-0.002717,0.005757,-0.004685,-0.767138,59.4475,2018,21836201
10,0.203668,-2.76752,0.016282,-0.417737,-0.004658,-0.000549,0.005918,-0.002804,-0.724267,61.0529,2018,21836202
11,0.203745,-2.6657,0.016293,-1.36429,-0.004663,-0.002956,0.005598,-0.004892,-0.831145,59.0381,2018,21836203
12,0.203872,-2.57431,0.016291,-0.240827,-0.004665,-0.002838,0.005977,-0.00479,-0.684745,59.7047,2018,21836204
13,0.203331,-2.49587,0.016256,-0.754081,-0.004642,0.000578,0.005785,-0.00182,-0.794582,59.0072,2018,21836205
14,0.203202,-2.36596,0.016259,0.548067,-0.004638,0.001362,0.006522,-0.001139,-0.717197,60.2528,2018,21836206
15,0.203936,-2.29183,0.016276,-1.69596,-0.004658,-0.001671,0.00607,-0.003776,-0.770834,60.5738,2018,21836207
16,0.203546,-2.17785,0.016283,-1.11425,-0.004652,-0.003674,0.006004,-0.005508,-0.782076,59.7248,2018,21836208
17,0.203594,-2.0687,0.016246,-0.227569,-0.004641,-0.003586,0.006026,-0.005427,-0.760656,60.2512,2018,21836209
18,0.203585,-1.97295,0.0163,-0.899674,-0.00466,-0.001322,0.004942,-0.003475,-0.840584,61.0523,2018,21836210
19,0.203406,-1.85462,0.016288,0.138452,-0.004655,0.001394,0.005381,-0.00112,-0.748098,60.907,2018,21836211
20,0.203504,-1.78406,0.016247,-0.986405,-0.004638,-0.00121,0.005346,-0.003366,-0.75501,59.4289,2018,21836212
21,0.203489,-1.60763,0.016286,-2.05302,-0.004658,0.003392,0.005917,0.000608,-0.757572,61.146,2018,21836213
22,0.203581,-1.52542,0.016278,-1.43794,-0.004651,-0.00104,0.005237,-0.003226,-0.858632,60.7968,2018,21836214
23,0.203315,-1.41146,0.016301,-0.258244,-0.004661,-0.002086,0.00531,-0.004137,-0.85503,59.3896,2018,21836215
24,0.203826,-1.27215,0.016309,-1.5011,-0.004661,-0.001349,0.005372,-0.003499,-0.781513,60.8723,2018,21836216
25,0.203599,-1.20984,0.01629,-0.717263,-0.004657,-0.001963,0.005159,-0.004029,-0.818396,60.0223,2018,21836217
26,0.203853,-1.07405,0.016298,0.191654,-0.00467,0.000768,0.005723,-0.00167,-0.795503,60.7649,2018,21836218
27,0.203747,-0.973375,0.016282,-0.252722,-0.00466,-0.001111,0.005574,-0.003292,-0.76184,59.1869,2018,21836219
28,0.203574,-0.890073,0.016283,-1.08631,-0.004658,0.003107,0.005651,0.000362,-0.782646,58.5328,2018,21836220
29,0.204037,-0.76563,0.016309,-0.526355,-0.00467,0.001313,0.006429,-0.001198,-0.64039,60.0844,2018,21836221
30,0.203795,-0.723249,0.016291,-1.11097,-0.004659,0.000956,0.005784,-0.001501,-0.766554,60.7354,2018,21836222
