ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year,
1,25.7545,0.0,0.121218,0.0,-0.005787,0.022591,0.149752,0.016671,-0.035119,60.3049,2018,20905460,
2,25.7591,0.0,-0.555359,0.0,-0.005224,0.30007,0.300892,0.257256,-0.057158,58.5652,2018,20905461,
3,25.7633,0.0,-0.977377,0.0,-0.005175,0.050532,0.061384,0.041174,-0.167922,60.2161,2018,20905462,
4,25.7675,0.0,-0.95109,0.0,-0.005541,0.075626,0.07604,0.062724,-0.109225,60.1015,2018,20905463,
5,25.7715,0.0,-0.583336,0.0,-0.005685,-0.146876,0.281731,-0.130041,-0.024025,60.6516,2018,20905464,
6,25.7758,0.0,-0.721594,0.0,-0.005476,0.135927,0.193759,0.114978,-0.032443,59.5308,2018,20905465,
7,22.2991,0.0,0.392581,0.0,-0.003425,0.098902,0.118932,0.083939,-0.036162,60.3253,2018,0,
8,22.3016,0.0,-1.40286,0.0,-0.002955,0.15978,0.186539,0.136896,-0.022758,59.9463,2018,0,
9,22.3049,0.0,-1.33662,0.0,-0.003599,0.10751,0.207161,0.091307,-0.009569,60.8912,2018,0,
10,22.3075,0.0,-0.307307,0.0,-0.002765,-0.043693,0.206648,-0.039222,-0.010066,59.1163,2018,0,
11,22.3108,0.0,0.123583,0.0,-0.002908,-0.236664,0.237744,-0.206411,0.011166,60.7057,2018,0,
12,22.3138,0.0,-0.300131,0.0,-0.003157,-0.034022,0.210634,-0.031042,-0.007712,59.798,2018,0,
13,22.3162,0.0,-1.44773,0.0,-0.002883,0.085922,0.160889,0.072969,-0.012227,60.5762,2018,0,
14,22.3086,0.0,-0.936135,0.0,-0.003389,-0.029072,0.068764,-0.026872,-0.117563,60.7129,2018,0,
15,22.3116,0.0,-1.37219,0.0,-0.002752,0.118348,0.195221,0.101116,0.000302,60.0502,2018,0,
16,22.315,0.0,0.896697,0.0,-0.002792,-0.045634,0.191253,-0.040917,-0.001915,61.0787,2018,0,
17,22.3175,0.0,-1.62787,0.0,-0.002632,0.23621,0.240399,0.203247,0.005322,60.3773,2018,0,
18,22.3207,0.0,0.367861,0.0,-0.003332,-0.251894,0.263134,-0.219813,-0.003887,59.6516,2018,0,
19,22.3232,0.0,-0.30743,0.0,-0.003353,0.136762,0.153437,0.116763,-0.011275,59.85,2018,0,
20,22.3261,0.0,-0.587777,0.0,-0.002727,0.124942,0.210956,0.106839,-0.005021,60.5996,2018,0,
21,22.3289,0.0,-0.185274,0.0,-0.00324,-0.112899,0.161526,-0.099393,-0.036368,59.919,2018,0,
22,22.331,0.0,0.717647,0.0,-0.00308,-0.123438,0.250478,-0.10844,0.001095,59.8114,2018,0,
23,22.3344,0.0,-0.894404,0.0,-0.003007,0.0234,0.156957,0.018762,-0.117661,59.9077,2018,0,
24,22.3365,0.0,-0.410784,0.0,-0.002412,0.052379,0.122645,0.044155,-0.006006,59.8688,2018,0,
25,22.3394,0.0,0.094792,0.0,-0.003647,0.06747,0.143337,0.056607,-0.02627,59.7263,2018,0,
26,22.342,0.0,-1.06537,0.0,-0.003432,0.076539,0.289865,0.064568,-0.033208,58.8922,2018,0,
27,22.3447,0.0,0.57721,0.0,-0.004041,-0.140871,0.170455,-0.124018,-0.061528,59.5579,2018,0,
28,22.3471,0.0,0.534395,0.0,-0.003375,0.047673,0.227485,0.039598,-0.001683,60.6403,2018,0,
29,22.3497,0.0,0.122223,0.0,-0.0036,0.109361,0.127377,0.092909,-0.072893,59.7835,2018,0,
30,22.3521,0.0,-0.528053,0.0,-0.003127,-0.014483,0.173521,-0.014106,-0.005631,61.0009,2018,0,
31,22.3547,0.0,0.769169,0.0,-0.00311,0.076895,0.300023,0.065038,0.005271,59.424,2018,0,
